scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,SM_000,6.514720055580436,MetFrag,1
LC-MS$^2$Struct,SM_000,14.0,MetFrag,1
MS$^2$+RT,SM_000,6.548755468483163,MetFrag,1
MS$^2$+logP,SM_000,9.181774891774891,MetFrag,1
MS$^2$+RO,SM_000,7.728253968253968,MetFrag,1
Only-MS$^2$,SM_001,3.7596300460858054,MetFrag,1
LC-MS$^2$Struct,SM_001,7.9831932773109235,MetFrag,1
MS$^2$+RT,SM_001,4.03435532081108,MetFrag,1
MS$^2$+logP,SM_001,5.742296918767507,MetFrag,1
MS$^2$+RO,SM_001,5.144724556489264,MetFrag,1
Only-MS$^2$,UF_002,2.943771387094145,MetFrag,1
LC-MS$^2$Struct,UF_002,7.6,MetFrag,1
MS$^2$+RT,UF_002,2.9640965903461782,MetFrag,1
MS$^2$+logP,UF_002,3.928961988304094,MetFrag,1
MS$^2$+RO,UF_002,3.0866666666666664,MetFrag,1
Only-MS$^2$,UF_003,1.5823031533496652,MetFrag,1
LC-MS$^2$Struct,UF_003,5.333333333333333,MetFrag,1
MS$^2$+RT,UF_003,1.4489698200163315,MetFrag,1
MS$^2$+logP,UF_003,2.9565656565656564,MetFrag,1
MS$^2$+RO,UF_003,2.952592592592593,MetFrag,1
Only-MS$^2$,UT_000,2.5717222496200978,MetFrag,1
LC-MS$^2$Struct,UT_000,6.44958129489206,MetFrag,1
MS$^2$+RT,UT_000,7.063871039192388,MetFrag,1
MS$^2$+logP,UT_000,2.987421383647799,MetFrag,1
MS$^2$+RO,UT_000,6.515423779574724,MetFrag,1
Only-MS$^2$,AVG.,6.8517001016595245,MetFrag,1
LC-MS$^2$Struct,AVG.,14.138145567766623,MetFrag,1
MS$^2$+RT,AVG.,7.142226047076952,MetFrag,1
MS$^2$+logP,AVG.,7.8970436022671,MetFrag,1
MS$^2$+RO,AVG.,8.635728465631653,MetFrag,1
Only-MS$^2$,AC_003,51.99993782549998,MetFrag,20
LC-MS$^2$Struct,AC_003,54.4,MetFrag,20
MS$^2$+RT,AC_003,50.7509133235663,MetFrag,20
MS$^2$+logP,AC_003,51.31692599840365,MetFrag,20
MS$^2$+RO,AC_003,52.89375637988681,MetFrag,20
Only-MS$^2$,AU_000,55.09127076933418,MetFrag,20
LC-MS$^2$Struct,AU_000,64.8,MetFrag,20
MS$^2$+RT,AU_000,54.85010579282065,MetFrag,20
MS$^2$+logP,AU_000,58.84190476190476,MetFrag,20
MS$^2$+RO,AU_000,59.14412698412698,MetFrag,20
Only-MS$^2$,AU_002,42.54975699988032,MetFrag,20
LC-MS$^2$Struct,AU_002,52.40840571029249,MetFrag,20
MS$^2$+RT,AU_002,41.80326784762105,MetFrag,20
