scoring_method,k,n_models,top_k_acc
Only-MS$^2$,20,8,44.2962962962963
LC-MS$^2$Struct,1,1,16.0
LC-MS$^2$Struct,20,1,66.0
Only-MS$^2$,1,1,12.25184619302266
Only-MS$^2$,20,1,61.99999999999999
LC-MS$^2$Struct,1,2,16.0
LC-MS$^2$Struct,20,2,64.0
Only-MS$^2$,1,2,12.25184619302266
Only-MS$^2$,20,2,61.99999999999999
LC-MS$^2$Struct,1,3,18.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,12.25184619302266
Only-MS$^2$,20,3,61.99999999999999
LC-MS$^2$Struct,1,4,18.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,12.25184619302266
Only-MS$^2$,20,4,61.99999999999999
LC-MS$^2$Struct,1,5,18.0
LC-MS$^2$Struct,20,5,62.0
Only-MS$^2$,1,5,12.25184619302266
Only-MS$^2$,20,5,61.99999999999999
LC-MS$^2$Struct,1,6,18.0
LC-MS$^2$Struct,20,6,64.0
Only-MS$^2$,1,6,12.25184619302266
Only-MS$^2$,20,6,61.99999999999999
LC-MS$^2$Struct,1,7,16.0
LC-MS$^2$Struct,20,7,64.0
Only-MS$^2$,1,7,12.25184619302266
Only-MS$^2$,20,7,61.99999999999999
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,12.25184619302266
Only-MS$^2$,20,8,61.99999999999999
LC-MS$^2$Struct,1,1,10.0
LC-MS$^2$Struct,20,1,52.0
Only-MS$^2$,1,1,8.285714285714286
Only-MS$^2$,20,1,50.2962962962963
LC-MS$^2$Struct,1,2,10.0
LC-MS$^2$Struct,20,2,46.0
Only-MS$^2$,1,2,8.285714285714286
Only-MS$^2$,20,2,50.2962962962963
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,8.285714285714286
Only-MS$^2$,20,3,50.2962962962963
LC-MS$^2$Struct,1,4,12.0
LC-MS$^2$Struct,20,4,50.0
Only-MS$^2$,1,4,8.285714285714286
Only-MS$^2$,20,4,50.2962962962963
LC-MS$^2$Struct,1,5,12.0
LC-MS$^2$Struct,20,5,50.0
Only-MS$^2$,1,5,8.285714285714286
Only-MS$^2$,20,5,50.2962962962963
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,48.0
Only-MS$^2$,1,6,8.285714285714286
Only-MS$^2$,20,6,50.2962962962963
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,52.0
Only-MS$^2$,1,7,8.285714285714286
Only-MS$^2$,20,7,50.2962962962963
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,54.0
Only-MS$^2$,1,8,8.285714285714286
Only-MS$^2$,20,8,50.2962962962963
LC-MS$^2$Struct,1,1,14.499999999999998
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,13.415151515151516
Only-MS$^2$,20,1,56.990173847316704
LC-MS$^2$Struct,1,2,14.000000000000002
